org_id,org_name,region,province,city,institution_type,tier,bed_count,account_owner,target_segment
NM-H001,上海澜庭医院,华东,上海,上海,综合医院,三级,920,陈嘉宁,A
NM-H002,南京和远医学中心,华东,江苏,南京,医学中心,三级,760,陈嘉宁,A
NM-H003,杭州清禾医院,华东,浙江,杭州,专科医院,二级,430,周闻,B
NM-H004,苏州明湾医院,华东,江苏,苏州,综合医院,二级,510,周闻,B
NM-H005,北京序康医学中心,华北,北京,北京,医学中心,三级,840,赵一然,A
NM-H006,天津栖云医院,华北,天津,天津,综合医院,三级,690,赵一然,A
NM-H007,石家庄知衡医院,华北,河北,石家庄,综合医院,二级,470,罗静,B
NM-H008,济南松屿医学中心,华北,山东,济南,专科医院,二级,390,罗静,C
NM-H009,广州沐川医院,华南,广东,广州,综合医院,三级,800,林昕,A
NM-H010,深圳青岚医学中心,华南,广东,深圳,医学中心,三级,610,林昕,A
NM-H011,厦门屿安医院,华南,福建,厦门,专科医院,二级,360,许航,B
NM-H012,南宁朗澈医院,华南,广西,南宁,综合医院,二级,440,许航,C
NM-H013,成都砚山医院,西部,四川,成都,综合医院,三级,720,唐郁,A
NM-H014,重庆澄川医学中心,西部,重庆,重庆,医学中心,三级,640,唐郁,B
NM-H015,西安北辰湖医院,西部,陕西,西安,综合医院,二级,490,蒋舟,B
NM-H016,昆明云序医院,西部,云南,昆明,专科医院,二级,330,蒋舟,C
