week_start,week_end,region,org_id,product_id,units,list_price_cny,discount_rate,unit_price_cny,revenue_cny,target_revenue_cny,visits,demos,trials,conversions,returns,channel
2026-07-06,2026-07-12,华东,NM-H001,NMX-01,0,240000,0.08,220800,0,150000,5,2,0,0,0,直销
2026-07-06,2026-07-12,华东,NM-H001,NMX-02,1,98000,0.07,91100,91100,97000,6,2,1,1,0,直销
2026-07-06,2026-07-12,华东,NM-H002,NMX-01,0,240000,0.07,223200,0,150000,5,3,2,0,0,直销
2026-07-06,2026-07-12,华东,NM-H002,NMX-02,1,98000,0.06,92100,92100,97000,5,3,1,1,0,直销
2026-07-06,2026-07-12,华东,NM-H003,NMX-01,0,240000,0.1,216000,0,123000,3,3,2,0,0,直销
2026-07-06,2026-07-12,华东,NM-H003,NMX-02,1,98000,0.09,89200,89200,80000,5,4,3,1,0,直销
2026-07-06,2026-07-12,华东,NM-H004,NMX-01,0,240000,0.09,218400,0,123000,5,0,0,0,0,直销
2026-07-06,2026-07-12,华东,NM-H004,NMX-02,1,98000,0.09,89200,89200,80000,3,3,2,1,0,直销
2026-07-06,2026-07-12,华北,NM-H005,NMX-01,1,240000,0.07,223200,223200,128000,4,4,3,1,0,直销
2026-07-06,2026-07-12,华北,NM-H005,NMX-02,1,98000,0.07,91100,91100,83000,3,3,3,1,0,直销
2026-07-06,2026-07-12,华北,NM-H006,NMX-01,1,240000,0.07,223200,223200,128000,3,1,1,1,0,直销
2026-07-06,2026-07-12,华北,NM-H006,NMX-02,1,98000,0.06,92100,92100,83000,3,2,2,1,0,直销
2026-07-06,2026-07-12,华北,NM-H007,NMX-01,0,240000,0.1,216000,0,105000,4,2,1,0,0,直销
2026-07-06,2026-07-12,华北,NM-H007,NMX-02,1,98000,0.09,89200,89200,68000,5,2,2,1,0,直销
2026-07-06,2026-07-12,华北,NM-H008,NMX-01,1,240000,0.13,208800,208800,83000,3,3,3,1,0,合作伙伴
2026-07-06,2026-07-12,华北,NM-H008,NMX-02,1,98000,0.1,88200,88200,54000,4,4,2,1,0,合作伙伴
2026-07-06,2026-07-12,华南,NM-H009,NMX-01,1,240000,0.09,218400,218400,116000,3,1,1,1,0,直销
2026-07-06,2026-07-12,华南,NM-H009,NMX-02,1,98000,0.08,90200,90200,75000,5,2,2,1,0,直销
2026-07-06,2026-07-12,华南,NM-H010,NMX-01,1,240000,0.08,220800,220800,116000,4,3,3,1,0,直销
2026-07-06,2026-07-12,华南,NM-H010,NMX-02,1,98000,0.07,91100,91100,75000,5,2,2,1,0,直销
2026-07-06,2026-07-12,华南,NM-H011,NMX-01,1,240000,0.1,216000,216000,95000,4,4,3,1,0,直销
2026-07-06,2026-07-12,华南,NM-H011,NMX-02,1,98000,0.09,89200,89200,61000,4,3,2,1,0,直销
2026-07-06,2026-07-12,华南,NM-H012,NMX-01,0,240000,0.12,211200,0,75000,3,3,1,0,0,合作伙伴
2026-07-06,2026-07-12,华南,NM-H012,NMX-02,1,98000,0.12,86200,86200,49000,5,2,2,1,0,直销
2026-07-06,2026-07-12,西部,NM-H013,NMX-01,0,240000,0.08,220800,0,73000,2,1,0,0,0,合作伙伴
2026-07-06,2026-07-12,西部,NM-H013,NMX-02,1,98000,0.08,90200,90200,61000,3,1,1,1,0,直销
2026-07-06,2026-07-12,西部,NM-H014,NMX-01,0,240000,0.11,213600,0,60000,4,2,2,0,0,直销
2026-07-06,2026-07-12,西部,NM-H014,NMX-02,1,98000,0.1,88200,88200,50000,4,4,2,1,0,合作伙伴
2026-07-06,2026-07-12,西部,NM-H015,NMX-01,0,240000,0.11,213600,0,60000,3,3,2,0,0,合作伙伴
2026-07-06,2026-07-12,西部,NM-H015,NMX-02,1,98000,0.09,89200,89200,50000,3,2,1,1,0,合作伙伴
2026-07-06,2026-07-12,西部,NM-H016,NMX-01,0,240000,0.13,208800,0,48000,3,3,2,0,0,合作伙伴
